scientificName,decimalLatitude,decimalLongitude,eventDate,taxonRank,kingdom,phylum,class,order,family,genus,species,recordedBy,coordinateUncertaintyInMeters,source,district
Paleosuchus trigonatus,-11.9726988777,-70.5317195728,2024-04-05,NA,Animalia,NA,NA,NA,NA,NA,NA,mariafvaz,183486,iNaturalist,TAMBOPATA
Opisthocomus hoazin,-12.6007808882,-69.0399483675,2024-04-03,NA,Animalia,NA,NA,NA,NA,NA,NA,mariafvaz,1095,iNaturalist,TAMBOPATA
Anhinga anhinga,-12.6014566398,-69.0398418397,2024-04-03,NA,Animalia,NA,NA,NA,NA,NA,NA,mariafvaz,1095,iNaturalist,TAMBOPATA
Saimiri boliviensis,-12.6028341279,-69.0399483675,2024-04-03,NA,Animalia,NA,NA,NA,NA,NA,NA,mariafvaz,1095,iNaturalist,TAMBOPATA
Pteronura brasiliensis,-12.7081669738,-69.1668501584,2024-04-03,NA,Animalia,NA,NA,NA,NA,NA,NA,mariafvaz,1335,iNaturalist,TAMBOPATA
Hydrochoerus hydrochaeris,-12.8990335397,-69.4640632233,2026-08-13,NA,Animalia,NA,NA,NA,NA,NA,NA,megan58322,11650,iNaturalist,TAMBOPATA
Brotogeris cyanoptera,-12.6709589924,-69.3624321868,2026-07-18,NA,Animalia,NA,NA,NA,NA,NA,NA,dbeeke,488,iNaturalist,TAMBOPATA
Coelomera cajennensis,-12.5919716667,-69.1772533333,2026-07-19,NA,Animalia,NA,NA,NA,NA,NA,NA,thaliavillana,9,iNaturalist,TAMBOPATA
Todirostrum maculatum,-12.59752,-69.1912,2026-07-27,NA,Animalia,NA,NA,NA,NA,NA,NA,thaliavillana,10,iNaturalist,TAMBOPATA
Siphonops annulatus,-12.62745,-69.1877833333,2026-08-09,NA,Animalia,NA,NA,NA,NA,NA,NA,thaliavillana,16,iNaturalist,TAMBOPATA
Macromantis hyalina,-12.8577951163,-69.4790609925,2025-08-08,NA,Animalia,NA,NA,NA,NA,NA,NA,lukeyinthewild,NA,iNaturalist,TAMBOPATA
Panacea prola,-12.59372,-69.1799916667,2026-08-04,NA,Animalia,NA,NA,NA,NA,NA,NA,valentina58296,11,iNaturalist,TAMBOPATA
Hydrochoerus hydrochaeris,-12.7870165735,-69.2793443597,2024-04-05,NA,Animalia,NA,NA,NA,NA,NA,NA,boenci,42,iNaturalist,TAMBOPATA
